zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info1String,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_comingSoon,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.unit,communityName,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.providerListingID,hdpData.homeInfo.newConstructionType,info6String,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.videoCount,plid,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,isCdpResult,unitCount,isComingSoonCommunity,lotId,style
13033143,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/893e15f7257db043bf6f2a5d5dd53da1-p_e.jpg,True,/homedetails/13710-E-7th-Ave-Aurora-CO-80011/13033143_zpid/,FOR_SALE,House for sale,"$450,000",$450K,"13710 E 7th Avenue, Aurora, CO 80011",3.0,2.0,1578.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,MLS ID #2111977,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,8z Real Estate,710884000.0,39.72621,-104.83108,SHOWCASE,Showcase,13033143.0,13710 E 7th Avenue,80011,Aurora,CO,39.72621,-104.83108,450000.0,2.0,3.0,1578.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,450000.0,710884000.0,True,False,False,USD,USA,436800.0,9409.0,sqft,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13070017,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/af1dbd1372e1a17b9942175bcd8cfa39-p_e.jpg,True,/homedetails/1597-S-Granby-St-Aurora-CO-80012/13070017_zpid/,FOR_SALE,House for sale,"$500,000",$500K,"1597 S Granby Street, Aurora, CO 80012",3.0,3.0,2242.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,MLS ID #2167708,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Compass - Denver,773476000.0,39.68728,-104.81082,SHOWCASE,Showcase,13070017.0,1597 S Granby Street,80012,Aurora,CO,39.68728,-104.81082,500000.0,3.0,3.0,2242.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,500000.0,773476000.0,True,False,False,USD,USA,481100.0,6621.0,sqft,True,501600.0,2795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13077124,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/53cc73649e3b094b07c111325f6219e1-p_e.jpg,True,/homedetails/18077-E-Asbury-Dr-Aurora-CO-80013/13077124_zpid/,FOR_SALE,House for sale,"$375,000",$375K,"18077 E Asbury Drive, Aurora, CO 80013",3.0,2.0,1320.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #7623746,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,HomeSmart,403074000.0,39.680527,-104.77757,3D_HOME,3D Tour,13077124.0,18077 E Asbury Drive,80013,Aurora,CO,39.680527,-104.77757,375000.0,2.0,3.0,1320.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,375000.0,403074000.0,True,False,False,USD,USA,485900.0,7187.0,sqft,False,384100.0,2595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12945844,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b7a570c25fb949c74155df4886ba1acc-p_e.jpg,True,/homedetails/5350-E-129th-Way-Thornton-CO-80241/12945844_zpid/,FOR_SALE,House for sale,"$550,000",$550K,"5350 E 129th Way, Thornton, CO 80241",3.0,3.0,1927.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,MLS ID #7921194,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Real Broker LLC,450893000.0,39.93064,-104.924934,SHOWCASE,Showcase,12945844.0,5350 E 129th Way,80241,Thornton,CO,39.93064,-104.924934,550000.0,3.0,3.0,1927.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,550000.0,450893000.0,True,False,False,USD,USA,522000.0,7038.0,sqft,True,554900.0,2924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13338684,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cc79a6e8695b82c00a6c251afc5bf05b-p_e.jpg,True,/homedetails/213-Lowell-Blvd-Denver-CO-80219/13338684_zpid/,FOR_SALE,House for sale,"$449,919",$450K,"213 N Lowell Boulevard, Denver, CO 80219",3.0,2.0,831.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #8876627,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Corcoran Perry & Co.,7069345000.0,39.720093,-105.03518,3D_HOME,3D Tour,13338684.0,213 N Lowell Boulevard,80219,Denver,CO,39.720093,-105.03518,449919.0,2.0,3.0,831.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,449919.0,7069345000.0,True,False,False,USD,USA,476400.0,7500.0,sqft,False,438300.0,2368.0,1719471600000.0,"$10,071 (Jun 27)",-10071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13820627,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1c8408c4c14bd8a144fc64a4061c9741-p_e.jpg,True,/homedetails/6337-S-Johnson-St-Littleton-CO-80123/13820627_zpid/,FOR_SALE,House for sale,"$541,200",$541K,"6337 S Johnson Street, Littleton, CO 80123",3.0,2.0,1426.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,MLS ID #6559317,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Thrive Real Estate Group,472855000.0,39.60138,-105.10935,SHOWCASE,Showcase,13820627.0,6337 S Johnson Street,80123,Littleton,CO,39.60138,-105.10935,541200.0,2.0,3.0,1426.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,541200.0,472855000.0,True,False,False,USD,USA,429701.0,6387.0,sqft,True,548100.0,2749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13088958,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/41196d6921d57df694eb20da42428540-p_e.jpg,True,/homedetails/19052-E-Dartmouth-Ave-Aurora-CO-80013/13088958_zpid/,FOR_SALE,House for sale,"$375,000",$375K,"19052 E Dartmouth Avenue, Aurora, CO 80013",4.0,2.0,1469.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #6722000,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Real Broker LLC,381710000.0,39.659412,-104.76555,,,13088958.0,19052 E Dartmouth Avenue,80013,Aurora,CO,39.659412,-104.76555,375000.0,2.0,4.0,1469.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,375000.0,381710000.0,True,False,False,USD,USA,502600.0,8930.0,sqft,False,386200.0,2600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13378817,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/89bcd94911e9c8e760f966e1b3a0949f-p_e.jpg,True,/homedetails/625-W-Iliff-Ave-Denver-CO-80223/13378817_zpid/,FOR_SALE,Multi-family home for sale,"$550,000",$550K,"625 W Iliff Avenue, Denver, CO 80223",4.0,2.0,2046.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #4085963,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Brokers Guild Homes,94833000.0,39.674995,-104.99567,PRICE_REDUCTION,"$20,500 (Jun 5)",13378817.0,625 W Iliff Avenue,80223,Denver,CO,39.674995,-104.99567,550000.0,2.0,4.0,2046.0,MULTI_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,550000.0,94833000.0,True,False,False,USD,USA,653400.0,9583.2,sqft,False,567300.0,3350.0,1717570800000.0,"$20,500 (Jun 5)",-20500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68047903,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/439e223ed32ad943bc8852a1954c884a-p_e.jpg,True,/homedetails/21376-E-55th-Pl-Denver-CO-80249/68047903_zpid/,FOR_SALE,House for sale,"$370,040",$370K,"21376 E 55th Place, Denver, CO 80249",3.0,3.0,1509.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #6174804,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Guardian Real Estate Group,3420390000.0,39.796684,-104.739204,,,68047903.0,21376 E 55th Place,80249,Denver,CO,39.796684,-104.739204,370040.0,3.0,3.0,1509.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,370040.0,3420390000.0,True,False,False,USD,USA,344600.0,2914.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337664610,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a52d0974a9f33bbb98c3f89d2b1b75ca-p_e.jpg,True,/homedetails/2670-Arapahoe-St-Denver-CO-80205/337664610_zpid/,FOR_SALE,Townhouse for sale,"$323,000",$323K,"2670 Arapahoe Street, Denver, CO 80205",3.0,2.0,1138.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #3279242,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Compass - Denver,1850964000.0,39.757732,-104.982574,,,337664610.0,2670 Arapahoe Street,80205,Denver,CO,39.757732,-104.982574,323000.0,2.0,3.0,1138.0,TOWNHOUSE,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,323000.0,1850964000.0,True,False,False,USD,USA,314000.0,711.0,sqft,False,316800.0,2712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12986951,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ca5f631a4820a5302793a748b3df5759-p_e.jpg,True,/homedetails/8711-Hopkins-Dr-Denver-CO-80229/12986951_zpid/,FOR_SALE,House for sale,"$384,900",$385K,"8711 Hopkins Drive, Denver, CO 80229",3.0,2.0,1221.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #1746291,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,RE/MAX ALLIANCE,446193000.0,39.854855,-104.96427,3D_HOME,3D Tour,12986951.0,8711 Hopkins Drive,80229,Denver,CO,39.854855,-104.96427,384900.0,2.0,3.0,1221.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,384900.0,446193000.0,True,False,False,USD,USA,408000.0,8160.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13821036,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ab80c775102772b7f7f99b483d3dc1ec-p_e.jpg,True,/homedetails/6439-S-Everett-Way-Littleton-CO-80123/13821036_zpid/,FOR_SALE,House for sale,"$450,000",$450K,"6439 S Everett Way, Littleton, CO 80123",4.0,2.0,1664.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #5998140,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Real Broker LLC,1072408000.0,39.599697,-105.097496,,,13821036.0,6439 S Everett Way,80123,Littleton,CO,39.599697,-105.097496,450000.0,2.0,4.0,1664.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,450000.0,1072408000.0,True,False,False,USD,USA,456277.0,7552.0,sqft,False,448600.0,2995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13118695,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2f52356f9a2783303b2ef7929fa197cc-p_e.jpg,True,/homedetails/16892-E-Hialeah-Ave-Centennial-CO-80015/13118695_zpid/,FOR_SALE,House for sale,"$450,000",$450K,"16892 E Hialeah Avenue, Centennial, CO 80015",3.0,2.0,2378.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #6219167,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Bluebird Real Estate Group,1702502000.0,39.62146,-104.791916,3D_HOME,3D Tour,13118695.0,16892 E Hialeah Avenue,80015,Centennial,CO,39.62146,-104.791916,450000.0,2.0,3.0,2378.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,450000.0,1702502000.0,True,False,False,USD,USA,481400.0,4008.0,sqft,False,456700.0,2924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13005579,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/ec24c7414b563c6a8450467d002edb65-p_e.jpg,True,/homedetails/4907-E-100th-Ln-Thornton-CO-80229/13005579_zpid/,FOR_SALE,Coming soon,"$440,000",$440K,"4907 E 100th Lane, Thornton, CO 80229",3.0,2.0,1110.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,False,,False,False,MLS ID #6082483,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Keller Williams Realty Downtown LLC,304389000.0,39.879616,-104.92737,3D_HOME,3D Tour,13005579.0,4907 E 100th Lane,80229,Thornton,CO,39.879616,-104.92737,440000.0,2.0,3.0,1110.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,False,False,FOR_SALE,440000.0,304389000.0,True,False,False,USD,USA,412000.0,4038.0,sqft,False,424300.0,2464.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
13300896,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ba46bb9b3de57b54036d9d740ecdff48-p_e.jpg,True,/homedetails/4457-Logan-St-Denver-CO-80216/13300896_zpid/,FOR_SALE,House for sale,"$499,000",$499K,"4457 N Logan Street, Denver, CO 80216",4.0,2.0,1292.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #7952830,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Colorado Realty Resource,869384000.0,39.77755,-104.98274,,,13300896.0,4457 N Logan Street,80216,Denver,CO,39.77755,-104.98274,499000.0,2.0,4.0,1292.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,499000.0,869384000.0,True,False,False,USD,USA,403100.0,6250.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63082711,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/55ba094b4b3ded26fdc63490ccefb3d6-p_e.jpg,True,/homedetails/5363-S-Prescott-St-Littleton-CO-80120/63082711_zpid/,FOR_SALE,Townhouse for sale,"$450,000",$450K,"5363 S Prescott Street, Littleton, CO 80120",4.0,2.0,2100.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #8317548,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Milehimodern,458566000.0,39.61948,-105.010506,3D_HOME,3D Tour,63082711.0,5363 S Prescott Street,80120,Littleton,CO,39.61948,-105.010506,450000.0,2.0,4.0,2100.0,TOWNHOUSE,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,450000.0,458566000.0,True,False,False,USD,USA,478600.0,1050.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13049618,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/e4b8420ca22315b6cdcdbfcb3f30eb38-p_e.jpg,True,/homedetails/1553-S-Tucson-St-Aurora-CO-80012/13049618_zpid/,FOR_SALE,House for sale,"$535,000",$535K,"1553 S Tucson Street, Aurora, CO 80012",4.0,2.0,1976.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,MLS ID #3278997,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Real Broker LLC,451221000.0,39.687363,-104.84005,SHOWCASE,Showcase,13049618.0,1553 S Tucson Street,80012,Aurora,CO,39.687363,-104.84005,535000.0,2.0,4.0,1976.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,535000.0,451221000.0,True,False,False,USD,USA,506600.0,7275.0,sqft,True,544100.0,2800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63374953,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1da9227a81376615c1282590ade40845-p_e.jpg,True,/homedetails/4772-S-Fultondale-Way-Aurora-CO-80016/63374953_zpid/,FOR_SALE,House for sale,"$539,900",$540K,"4772 S Fultondale Way, Aurora, CO 80016",3.0,4.0,2032.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #8945128,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,LoKation,542527000.0,39.63021,-104.70239,3D_HOME,3D Tour,63374953.0,4772 S Fultondale Way,80016,Aurora,CO,39.63021,-104.70239,539900.0,4.0,3.0,2032.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,539900.0,542527000.0,True,False,False,USD,USA,561000.0,6098.4,sqft,False,547200.0,2999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13114030,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d10b2da29ffa4e16c1aa1f021cebe54a-p_e.jpg,True,/homedetails/21563-E-Powers-Pl-Centennial-CO-80015/13114030_zpid/,FOR_SALE,House for sale,"$500,000",$500K,"21563 E Powers Place, Centennial, CO 80015",4.0,2.0,2204.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #3815160,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Symbio Denver Corp.,1603205000.0,39.61348,-104.73714,PRICE_REDUCTION,"$65,000 (Jun 26)",13114030.0,21563 E Powers Place,80015,Centennial,CO,39.61348,-104.73714,500000.0,2.0,4.0,2204.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,500000.0,1603205000.0,True,False,False,USD,USA,534200.0,6969.6,sqft,False,492000.0,3024.0,1719385200000.0,"$65,000 (Jun 26)",-65000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13388903,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4963b0f2a22e5f4fbf12e7606e5441b6-p_e.jpg,True,/homedetails/1170-Verbena-St-Denver-CO-80220/13388903_zpid/,FOR_SALE,House for sale,"$375,000",$375K,"1170 Verbena Street, Denver, CO 80220",3.0,2.0,1236.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #3979622,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Sellstate ACE Properties,707519000.0,39.735077,-104.89032,,,13388903.0,1170 Verbena Street,80220,Denver,CO,39.735077,-104.89032,375000.0,2.0,3.0,1236.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,375000.0,707519000.0,True,False,False,USD,USA,463600.0,9150.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12963700,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/a9ed0cbc4c48e28a6fcac7bd674719df-p_e.jpg,True,/homedetails/2300-Ranch-Dr-Westminster-CO-80234/12963700_zpid/,FOR_SALE,Townhouse for sale,"$524,000",$524K,"2300 Ranch Drive, Westminster, CO 80234",3.0,3.0,2614.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,MLS ID #3640937,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Opendoor Brokerage LLC,24505000.0,39.900696,-105.014244,TIME_ON_INFO,6 hours ago,12963700.0,2300 Ranch Drive,80234,Westminster,CO,39.900696,-105.014244,524000.0,3.0,3.0,2614.0,TOWNHOUSE,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,524000.0,24505000.0,True,False,False,USD,USA,481000.0,2106.0,sqft,False,532800.0,2995.0,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,
58296737,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/57ec5158dcd65ac1d98605f10f286cf7-p_e.jpg,True,/homedetails/20000-Mitchell-Pl-UNIT-13-Denver-CO-80249/58296737_zpid/,FOR_SALE,House for sale,"$457,000",$457K,"20000 Mitchell Place  Unit 13, Denver, CO 80249",3.0,3.0,1617.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,MLS ID #5585904,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,Opendoor Brokerage LLC,477878000.0,39.776733,-104.75473,SHOWCASE,Showcase,58296737.0,20000 Mitchell Place  Unit 13,80249,Denver,CO,39.776733,-104.75473,457000.0,3.0,3.0,1617.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,457000.0,477878000.0,True,False,False,USD,USA,463700.0,3747.0,sqft,True,463200.0,2785.0,,,,,,,True,Wed. 8am-7:30pm,"[{'open_house_start': 1720018800000, 'open_house_end': 1720060200000}, {'open_house_start': 1720191600000, 'open_house_end': 1720233000000}, {'open_house_start': 1720364400000, 'open_house_end': 1720405800000}, {'open_house_start': 1720450800000, 'open_house_end': 1720492200000}]",Unit 13,,,,,,,,,,,,,,,,,,,,,
13082040,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/67df6c71a9b138242893f108c2715a3d-p_e.jpg,True,/homedetails/15174-E-Bethany-Pl-Aurora-CO-80014/13082040_zpid/,FOR_SALE,House for sale,"$424,900",$425K,"15174 E Bethany Place, Aurora, CO 80014",4.0,2.0,1632.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,MLS ID #2184947,https://photos.zillowstatic.com/fp/0de3b0f79d7392065b9356ecbc1719fc-zillow_web_48_23.jpg,RE/MAX ALLIANCE,1037184000.0,39.66255,-104.8114,3D_HOME,3D Tour,13082040.0,15174 E Bethany Place,80014,Aurora,CO,39.66255,-104.8114,424900.0,2.0,4.0,1632.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,424900.0,1037184000.0,True,False,False,USD,USA,486200.0,9714.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
